time,output,consumption
2024-07-18 14:15:00,5473,388
2024-07-18 14:20:00,6056,346
2024-07-18 14:25:00,5673,424
2024-07-18 14:30:00,5774,444
2024-07-18 14:35:00,5950,406
2024-07-18 14:40:00,4988,390
2024-07-18 14:45:00,5441,400
2024-07-18 14:50:00,5921,454
2024-07-18 14:55:00,5756,460
2024-07-18 15:00:00,5710,490
2024-07-18 15:05:00,5666,478
2024-07-18 15:10:00,5590,362
2024-07-18 15:15:00,5195,330
2024-07-18 15:20:00,5227,336
2024-07-18 15:25:00,4851,250
2024-07-18 15:30:00,5489,164
2024-07-18 15:35:00,5273,222
2024-07-18 15:40:00,5192,352
2024-07-18 15:45:00,5138,798
2024-07-18 15:50:00,5071,392
2024-07-18 15:55:00,4960,374
2024-07-18 16:00:00,4866,370
2024-07-18 16:05:00,4774,370
2024-07-18 16:10:00,4683,354
2024-07-18 16:15:00,4634,314
2024-07-18 16:20:00,4647,336
2024-07-18 16:25:00,4663,246
2024-07-18 16:30:00,4672,298
2024-07-18 16:35:00,4801,296
2024-07-18 16:40:00,4772,296
2024-07-18 16:45:00,4574,304
2024-07-18 16:50:00,3383,430
2024-07-18 16:55:00,4096,450
2024-07-18 17:00:00,4494,408
2024-07-18 17:05:00,4531,306
2024-07-18 17:10:00,4501,278
2024-07-18 17:15:00,4408,278
2024-07-18 17:20:00,4354,276
2024-07-18 17:25:00,4325,302
2024-07-18 17:30:00,3330,306
2024-07-18 17:35:00,895,224
2024-07-18 17:40:00,1881,208
2024-07-18 17:45:00,4120,210
2024-07-18 17:50:00,4019,212
2024-07-18 17:55:00,4080,228
2024-07-18 18:00:00,3992,272
2024-07-18 18:05:00,3953,310
2024-07-18 18:10:00,3838,310
2024-07-18 18:15:00,3780,290
2024-07-18 18:20:00,3674,294
2024-07-18 18:25:00,3633,276
2024-07-18 18:30:00,3593,214
2024-07-18 18:35:00,3544,240
2024-07-18 18:40:00,3472,244
2024-07-18 18:45:00,3419,172
2024-07-18 18:50:00,3347,98
2024-07-18 18:55:00,3247,90
2024-07-18 19:00:00,3169,90
2024-07-18 19:05:00,3101,90
2024-07-18 19:10:00,3005,98
2024-07-18 19:15:00,2939,94
2024-07-18 19:20:00,2851,130
2024-07-18 19:25:00,2755,180
2024-07-18 19:30:00,2648,164
2024-07-18 19:35:00,2558,166
2024-07-18 19:40:00,2462,160
2024-07-18 19:45:00,2393,166
2024-07-18 19:50:00,2275,228
2024-07-18 19:55:00,2242,246
2024-07-18 20:00:00,2085,864
2024-07-18 20:05:00,1995,630
2024-07-18 20:10:00,1849,230
2024-07-18 20:15:00,1482,308
2024-07-18 20:20:00,443,398
2024-07-18 20:25:00,729,390
2024-07-18 20:30:00,350,370
2024-07-18 20:35:00,662,502
2024-07-18 20:40:00,472,512
2024-07-18 20:45:00,654,576
2024-07-18 20:50:00,347,452
2024-07-18 20:55:00,310,298
2024-07-18 21:00:00,282,308
2024-07-18 21:05:00,230,282
2024-07-18 21:10:00,74,198
2024-07-18 21:15:00,15,122
2024-07-18 21:20:00,2,58
2024-07-18 21:25:00,0,36
2024-07-18 21:30:00,0,26
2024-07-18 21:35:00,0,20
2024-07-18 21:40:00,0,20
2024-07-18 21:45:00,0,20
2024-07-18 21:50:00,0,20
2024-07-18 21:55:00,0,20
2024-07-18 22:00:00,0,20
2024-07-18 22:05:00,0,18
2024-07-18 22:10:00,0,10
2024-07-18 22:15:00,0,10
2024-07-18 22:20:00,0,10
2024-07-18 22:25:00,0,10
2024-07-18 22:30:00,0,10
2024-07-18 22:35:00,0,10
2024-07-18 22:40:00,0,10
2024-07-18 22:45:00,0,10
2024-07-18 22:50:00,0,10
2024-07-18 22:55:00,0,10
2024-07-18 23:00:00,0,10
2024-07-18 23:10:00,0,10
2024-07-18 23:15:00,0,10
2024-07-18 23:20:00,0,10
2024-07-18 23:25:00,0,10
2024-07-18 23:30:00,0,10
2024-07-18 23:35:00,0,10
2024-07-18 23:40:00,0,10
2024-07-18 23:45:00,0,10
2024-07-18 23:50:00,0,10
2024-07-18 23:55:00,0,10
2024-07-19 00:00:00,0,10
2024-07-19 00:05:00,0,10
2024-07-19 00:10:00,0,10
2024-07-19 00:15:00,0,10
2024-07-19 00:20:00,0,10
2024-07-19 00:25:00,0,10
2024-07-19 00:30:00,0,10
2024-07-19 00:35:00,0,10
2024-07-19 00:40:00,0,10
2024-07-19 00:45:00,0,10
2024-07-19 00:50:00,0,10
2024-07-19 00:55:00,0,10
2024-07-19 01:00:00,0,10
2024-07-19 01:05:00,0,10
2024-07-19 01:10:00,0,10
2024-07-19 01:15:00,0,10
2024-07-19 01:20:00,0,10
2024-07-19 01:25:00,0,10
2024-07-19 01:30:00,0,10
2024-07-19 01:35:00,0,10
2024-07-19 01:40:00,0,10
2024-07-19 01:45:00,0,10
2024-07-19 01:50:00,0,10
2024-07-19 01:55:00,0,10
2024-07-19 02:00:00,0,10
2024-07-19 02:05:00,0,10
2024-07-19 02:10:00,0,10
2024-07-19 02:15:00,0,10
2024-07-19 02:20:00,0,10
2024-07-19 02:25:00,0,10
2024-07-19 02:30:00,0,10
2024-07-19 02:35:00,0,10
2024-07-19 02:40:00,0,10
2024-07-19 02:45:00,0,10
2024-07-19 02:50:00,0,10
2024-07-19 02:55:00,0,10
2024-07-19 03:00:00,0,10
2024-07-19 03:05:00,0,0
2024-07-19 03:10:00,0,0
2024-07-19 03:15:00,0,0
2024-07-19 03:20:00,0,0
2024-07-19 03:25:00,0,0
2024-07-19 03:30:00,0,0
2024-07-19 03:35:00,0,0
2024-07-19 03:40:00,0,0
2024-07-19 03:45:00,0,0
2024-07-19 03:50:00,0,0
2024-07-19 03:55:00,0,0
2024-07-19 04:00:00,0,0
2024-07-19 04:10:00,0,10
2024-07-19 04:15:00,0,10
2024-07-19 04:20:00,0,10
2024-07-19 04:25:00,0,10
2024-07-19 04:30:00,0,10
2024-07-19 04:35:00,0,10
2024-07-19 04:40:00,0,10
2024-07-19 04:45:00,0,10
2024-07-19 04:50:00,0,10
2024-07-19 04:55:00,0,10
2024-07-19 05:00:00,0,10
2024-07-19 05:05:00,0,10
2024-07-19 05:10:00,0,10
2024-07-19 05:15:00,0,10
2024-07-19 05:20:00,0,10
2024-07-19 05:25:00,0,10
2024-07-19 05:30:00,0,10
2024-07-19 05:35:00,0,10
2024-07-19 05:40:00,0,10
2024-07-19 05:45:00,0,10
2024-07-19 05:50:00,0,10
2024-07-19 05:55:00,0,10
2024-07-19 06:00:00,0,10
2024-07-19 06:05:00,36,10
2024-07-19 06:10:00,77,20
2024-07-19 06:15:00,58,62
2024-07-19 06:20:00,126,90
2024-07-19 06:25:00,164,154
2024-07-19 06:30:00,179,200
2024-07-19 06:35:00,206,198
2024-07-19 06:40:00,313,276
2024-07-19 06:45:00,315,406
2024-07-19 06:50:00,392,340
2024-07-19 06:55:00,494,472
2024-07-19 07:00:00,585,562
2024-07-19 07:05:00,680,718
2024-07-19 07:10:00,733,736
2024-07-19 07:15:00,935,1002
2024-07-19 07:20:00,1133,1090
2024-07-19 07:25:00,1394,1432
2024-07-19 07:30:00,1027,1002
2024-07-19 07:35:00,885,1050
2024-07-19 07:40:00,1087,890
2024-07-19 07:45:00,1322,1246
2024-07-19 07:50:00,2058,1914
2024-07-19 07:55:00,1989,1992
2024-07-19 08:00:00,1976,1856
2024-07-19 08:05:00,2241,2206
2024-07-19 08:10:00,2067,1940
2024-07-19 08:15:00,2756,2214
2024-07-19 08:20:00,2501,2254
2024-07-19 08:25:00,2426,986
2024-07-19 08:30:00,2435,2410
2024-07-19 08:35:00,2781,2202
2024-07-19 08:40:00,2784,366
2024-07-19 08:45:00,2597,742
2024-07-19 08:50:00,2367,1430
2024-07-19 08:55:00,2027,238
2024-07-19 09:00:00,1957,166
2024-07-19 09:05:00,2962,152
2024-07-19 09:10:00,3329,166
2024-07-19 09:15:00,3509,146
2024-07-19 09:20:00,2992,140
2024-07-19 09:25:00,3445,164
2024-07-19 09:30:00,3091,328
2024-07-19 09:35:00,3189,236
2024-07-19 09:40:00,3280,180
2024-07-19 09:45:00,3139,152
2024-07-19 09:50:00,3099,140
2024-07-19 09:55:00,3134,144
2024-07-19 10:00:00,3137,144
2024-07-19 10:05:00,3395,188
2024-07-19 10:10:00,3356,224
2024-07-19 10:15:00,3448,222
2024-07-19 10:20:00,3988,216
2024-07-19 10:25:00,4066,220
2024-07-19 10:30:00,4079,210
2024-07-19 10:35:00,3588,210
2024-07-19 10:40:00,4116,200
2024-07-19 10:45:00,3925,150
2024-07-19 10:50:00,3946,162
2024-07-19 10:55:00,4230,230
2024-07-19 11:00:00,4293,240
2024-07-19 11:05:00,4322,194
2024-07-19 11:10:00,4313,142
2024-07-19 11:15:00,4331,130
2024-07-19 11:20:00,4508,138
2024-07-19 11:25:00,4596,132
2024-07-19 11:30:00,4662,130
2024-07-19 11:35:00,4766,134
2024-07-19 11:40:00,4830,274
2024-07-19 11:45:00,4850,402
2024-07-19 11:50:00,4840,406
2024-07-19 11:55:00,4979,388
2024-07-19 12:00:00,5000,386
2024-07-19 12:05:00,5036,918
2024-07-19 12:10:00,5079,426
2024-07-19 12:15:00,5120,390
2024-07-19 12:20:00,5160,390
2024-07-19 12:25:00,5212,318
2024-07-19 12:30:00,5234,342
2024-07-19 12:35:00,5277,316
2024-07-19 12:40:00,5308,652
2024-07-19 12:45:00,5349,1006
2024-07-19 12:50:00,5370,338
2024-07-19 12:55:00,5392,308
2024-07-19 13:00:00,5428,384
2024-07-19 13:05:00,5434,392
2024-07-19 13:10:00,5452,386
2024-07-19 13:15:00,5470,388
2024-07-19 13:20:00,5502,376
2024-07-19 13:25:00,5516,406
2024-07-19 13:30:00,5537,460
2024-07-19 13:35:00,5527,476
2024-07-19 13:40:00,5555,466
2024-07-19 13:45:00,5600,466
2024-07-19 13:50:00,5794,462
2024-07-19 13:55:00,4921,500
2024-07-19 14:00:00,4446,442
2024-07-19 14:05:00,5238,402
2024-07-19 14:10:00,5347,404
2024-07-19 14:15:00,5941,402
2024-07-19 14:20:00,5901,340
2024-07-19 14:25:00,5703,318
2024-07-19 14:30:00,5638,308
2024-07-19 14:35:00,5668,370
2024-07-19 14:40:00,4328,400
2024-07-19 14:45:00,5534,390
2024-07-19 14:50:00,5808,340
2024-07-19 14:55:00,5223,324
2024-07-19 15:00:00,3383,302
2024-07-19 15:05:00,3106,290
2024-07-19 15:10:00,5526,400
2024-07-19 15:15:00,5240,382
2024-07-19 15:20:00,3544,340
2024-07-19 15:25:00,1644,336
2024-07-19 15:30:00,3135,326
2024-07-19 15:35:00,1701,314
2024-07-19 15:40:00,1560,274
2024-07-19 15:45:00,1650,194
2024-07-19 15:50:00,1709,216
2024-07-19 15:55:00,1642,228
2024-07-19 16:00:00,2953,186
2024-07-19 16:05:00,4692,136
2024-07-19 16:10:00,3624,138
2024-07-19 16:15:00,2291,146
2024-07-19 16:20:00,3213,128
2024-07-19 16:25:00,1577,124
2024-07-19 16:30:00,4295,136
2024-07-19 16:35:00,2725,154
2024-07-19 16:40:00,1231,216
2024-07-19 16:45:00,1944,210
2024-07-19 16:50:00,1292,202
2024-07-19 16:55:00,1392,202
2024-07-19 17:00:00,1646,216
2024-07-19 17:05:00,1403,228
2024-07-19 17:10:00,4396,240
2024-07-19 17:15:00,4265,262
2024-07-19 17:20:00,4131,190
2024-07-19 17:25:00,4132,146
2024-07-19 17:30:00,3984,228
2024-07-19 17:35:00,3946,172
2024-07-19 17:40:00,4074,140
2024-07-19 17:45:00,3995,176
2024-07-19 17:50:00,4019,150
2024-07-19 17:55:00,3953,222
2024-07-19 18:00:00,3899,236
2024-07-19 18:05:00,3866,250
2024-07-19 18:10:00,3859,246
2024-07-19 18:15:00,3916,240
2024-07-19 18:20:00,3870,214
2024-07-19 18:25:00,3628,166
2024-07-19 18:30:00,3547,160
2024-07-19 18:35:00,3438,150
2024-07-19 18:40:00,3364,150
2024-07-19 18:45:00,3290,150
2024-07-19 18:50:00,3233,152
2024-07-19 18:55:00,3174,152
2024-07-19 19:00:00,3105,124
2024-07-19 19:05:00,3025,80
2024-07-19 19:10:00,2945,144
2024-07-19 19:15:00,2868,196
2024-07-19 19:20:00,2793,202
2024-07-19 19:25:00,2690,180
2024-07-19 19:30:00,2563,148
2024-07-19 19:35:00,2395,112
2024-07-19 19:40:00,2231,80
2024-07-19 19:45:00,2122,80
2024-07-19 19:50:00,1999,110
2024-07-19 19:55:00,1846,168
2024-07-19 20:00:00,1721,156
2024-07-19 20:05:00,1620,150
2024-07-19 20:10:00,1467,214
2024-07-19 20:15:00,1366,256
2024-07-19 20:20:00,1230,194
2024-07-19 20:25:00,1077,200
2024-07-19 20:30:00,906,198
2024-07-19 20:35:00,779,180
2024-07-19 20:40:00,663,172
2024-07-19 20:45:00,473,186
2024-07-19 20:50:00,319,342
2024-07-19 20:55:00,152,256
2024-07-19 21:00:00,97,138
2024-07-19 21:05:00,60,104
2024-07-19 21:10:00,34,90
2024-07-19 21:15:00,12,70
2024-07-19 21:20:00,0,42
2024-07-19 21:25:00,0,40
2024-07-19 21:30:00,0,40
2024-07-19 21:35:00,0,36
2024-07-19 21:40:00,0,26
2024-07-19 21:45:00,0,20
2024-07-19 21:50:00,0,16
2024-07-19 21:55:00,0,10
2024-07-19 22:00:00,0,10
2024-07-19 22:05:00,0,10
2024-07-19 22:10:00,0,10
2024-07-19 22:15:00,0,10
2024-07-19 22:20:00,0,6
2024-07-19 22:25:00,0,0
2024-07-19 22:30:00,0,0
2024-07-19 22:35:00,0,0
2024-07-19 22:40:00,0,0
2024-07-19 22:45:00,0,0
2024-07-19 22:50:00,0,0
2024-07-19 22:55:00,0,0
2024-07-19 23:00:00,0,0
2024-07-19 23:10:00,0,0
2024-07-19 23:15:00,0,0
2024-07-19 23:20:00,0,0
2024-07-19 23:25:00,0,0
2024-07-19 23:30:00,0,0
2024-07-19 23:35:00,0,0
2024-07-19 23:40:00,0,0
2024-07-19 23:45:00,0,0
2024-07-19 23:50:00,0,0
2024-07-19 23:55:00,0,0
2024-07-20 00:00:00,0,0
2024-07-20 00:05:00,0,0
2024-07-20 00:10:00,0,10
2024-07-20 00:15:00,0,10
2024-07-20 00:20:00,0,10
2024-07-20 00:25:00,0,10
2024-07-20 00:30:00,0,10
2024-07-20 00:35:00,0,10
2024-07-20 00:40:00,0,10
2024-07-20 00:45:00,0,10
2024-07-20 00:50:00,0,10
2024-07-20 00:55:00,0,10
2024-07-20 01:00:00,0,10
2024-07-20 01:05:00,0,10
2024-07-20 01:10:00,0,10
2024-07-20 01:15:00,0,10
2024-07-20 01:20:00,0,10
2024-07-20 01:25:00,0,10
2024-07-20 01:30:00,0,10
2024-07-20 01:35:00,0,10
2024-07-20 01:40:00,0,10
2024-07-20 01:45:00,0,10
2024-07-20 01:50:00,0,10
2024-07-20 01:55:00,0,10
2024-07-20 02:00:00,0,10
2024-07-20 02:05:00,0,10
2024-07-20 02:10:00,0,10
2024-07-20 02:15:00,0,10
2024-07-20 02:20:00,0,10
2024-07-20 02:25:00,0,10
2024-07-20 02:30:00,0,10
2024-07-20 02:35:00,0,10
2024-07-20 02:40:00,0,10
2024-07-20 02:45:00,0,10
2024-07-20 02:50:00,0,10
2024-07-20 02:55:00,0,10
2024-07-20 03:00:00,0,10
2024-07-20 03:05:00,0,0
2024-07-20 03:10:00,0,0
2024-07-20 03:15:00,0,0
2024-07-20 03:20:00,0,0
2024-07-20 03:25:00,0,0
2024-07-20 03:30:00,0,0
2024-07-20 03:35:00,0,0
2024-07-20 03:40:00,0,0
2024-07-20 03:45:00,0,0
2024-07-20 03:50:00,0,0
2024-07-20 03:55:00,0,0
2024-07-20 04:00:00,0,9
2024-07-20 04:10:00,0,10
2024-07-20 04:15:00,0,10
2024-07-20 04:20:00,0,10
2024-07-20 04:25:00,0,10
2024-07-20 04:30:00,0,10
2024-07-20 04:35:00,0,10
2024-07-20 04:40:00,0,10
2024-07-20 04:45:00,0,10
2024-07-20 04:50:00,0,10
2024-07-20 04:55:00,0,10
2024-07-20 05:00:00,0,10
2024-07-20 05:05:00,0,10
2024-07-20 05:10:00,0,10
2024-07-20 05:15:00,0,10
2024-07-20 05:20:00,0,10
2024-07-20 05:25:00,0,10
2024-07-20 05:30:00,0,10
2024-07-20 05:35:00,0,10
2024-07-20 05:40:00,0,10
2024-07-20 05:45:00,0,10
2024-07-20 05:50:00,0,10
2024-07-20 05:55:00,0,10
2024-07-20 06:00:00,0,10
2024-07-20 06:05:00,0,10
2024-07-20 06:10:00,22,10
2024-07-20 06:15:00,123,29
2024-07-20 06:20:00,163,147
2024-07-20 06:25:00,207,193
2024-07-20 06:30:00,260,245
2024-07-20 06:35:00,463,382
2024-07-20 06:40:00,764,714
2024-07-20 06:45:00,983,961
2024-07-20 06:50:00,1097,1104
2024-07-20 06:55:00,1175,1186
2024-07-20 07:00:00,1311,1284
2024-07-20 07:05:00,1383,1386
2024-07-20 07:10:00,1546,1547
2024-07-20 07:15:00,1685,1702
2024-07-20 07:20:00,1808,1807
2024-07-20 07:25:00,1903,1903
2024-07-20 07:30:00,1985,1990
2024-07-20 07:35:00,2068,2104
2024-07-20 07:40:00,2156,1473
2024-07-20 07:45:00,2255,759
2024-07-20 07:50:00,2317,200
2024-07-20 07:55:00,2159,264
2024-07-20 08:00:00,2534,232
2024-07-20 08:05:00,2610,344
2024-07-20 08:10:00,2671,428
2024-07-20 08:15:00,2742,509
2024-07-20 08:20:00,2802,2413
2024-07-20 08:25:00,2873,556
2024-07-20 08:30:00,2929,293
2024-07-20 08:35:00,2992,275
2024-07-20 08:40:00,3052,187
2024-07-20 08:45:00,3104,152
2024-07-20 08:50:00,3146,153
2024-07-20 08:55:00,3205,151
2024-07-20 09:00:00,3233,146
2024-07-20 09:05:00,3266,186
2024-07-20 09:10:00,3298,187
2024-07-20 09:15:00,3296,184
2024-07-20 09:20:00,3303,183
2024-07-20 09:25:00,3336,190
2024-07-20 09:30:00,3349,190
2024-07-20 09:35:00,3370,211
2024-07-20 09:40:00,3383,192
2024-07-20 09:45:00,3411,171
2024-07-20 09:50:00,3438,273
2024-07-20 09:55:00,3459,205
2024-07-20 10:00:00,3479,179
2024-07-20 10:05:00,3514,175
2024-07-20 10:10:00,3539,150
2024-07-20 10:15:00,3549,155
2024-07-20 10:20:00,3586,179
2024-07-20 10:25:00,3660,180
2024-07-20 10:30:00,3712,112
2024-07-20 10:35:00,3764,95
2024-07-20 10:40:00,3817,80
2024-07-20 10:45:00,3896,80
2024-07-20 10:50:00,3981,80
2024-07-20 10:55:00,4054,81
2024-07-20 11:00:00,4120,134
2024-07-20 11:05:00,4174,168
2024-07-20 11:10:00,4234,156
2024-07-20 11:15:00,4310,156
2024-07-20 11:20:00,4387,164
2024-07-20 11:25:00,4448,185
2024-07-20 11:30:00,4505,186
2024-07-20 11:35:00,4577,172
2024-07-20 11:40:00,4658,150
2024-07-20 11:45:00,4714,150
2024-07-20 11:50:00,4781,150
2024-07-20 11:55:00,4826,150
2024-07-20 12:00:00,4887,144
2024-07-20 12:05:00,4952,101
2024-07-20 12:10:00,4994,86
2024-07-20 12:15:00,5043,80
2024-07-20 12:20:00,5098,90
2024-07-20 12:25:00,5156,157
2024-07-20 12:30:00,5189,180
2024-07-20 12:35:00,5236,142
2024-07-20 12:40:00,5268,80
2024-07-20 12:45:00,5306,80
2024-07-20 12:50:00,5328,80
2024-07-20 12:55:00,5380,80
2024-07-20 13:00:00,5427,80
2024-07-20 13:05:00,5456,102
2024-07-20 13:10:00,5479,166
2024-07-20 13:15:00,5474,170
2024-07-20 13:20:00,5494,855
2024-07-20 13:25:00,5554,196
2024-07-20 13:30:00,5562,185
2024-07-20 13:35:00,5561,187
2024-07-20 13:40:00,5523,164
2024-07-20 13:45:00,5525,278
2024-07-20 13:50:00,5530,340
2024-07-20 13:55:00,5549,362
2024-07-20 14:00:00,5529,366
2024-07-20 14:05:00,5518,373
2024-07-20 14:10:00,5514,348
2024-07-20 14:15:00,5473,351
2024-07-20 14:20:00,5470,386
2024-07-20 14:25:00,5490,441
2024-07-20 14:30:00,5496,439
2024-07-20 14:35:00,5444,344
2024-07-20 14:40:00,5438,339
2024-07-20 14:45:00,5411,241
2024-07-20 14:50:00,5368,131
2024-07-20 14:55:00,5236,90
2024-07-20 15:00:00,5228,90
2024-07-20 15:05:00,5191,112
2024-07-20 15:10:00,5177,171
2024-07-20 15:15:00,5056,168
2024-07-20 15:20:00,5039,160
2024-07-20 15:25:00,5011,194
2024-07-20 15:30:00,4980,290
2024-07-20 15:35:00,4917,325
2024-07-20 15:40:00,4851,326
2024-07-20 15:45:00,4789,306
2024-07-20 15:50:00,4729,291
2024-07-20 15:55:00,4631,294
2024-07-20 16:00:00,4619,290
2024-07-20 16:05:00,4558,236
2024-07-20 16:10:00,4461,226
2024-07-20 16:15:00,4376,208
2024-07-20 16:20:00,4286,190
2024-07-20 16:25:00,4237,145
2024-07-20 16:30:00,4178,221
2024-07-20 16:35:00,4134,250
2024-07-20 16:40:00,4211,219
2024-07-20 16:45:00,4236,147
2024-07-20 16:50:00,4225,103
2024-07-20 16:55:00,4212,91
2024-07-20 17:00:00,4148,80
2024-07-20 17:05:00,4153,90
2024-07-20 17:10:00,4122,157
2024-07-20 17:15:00,4098,170
2024-07-20 17:20:00,4077,160
2024-07-20 17:25:00,4048,154
2024-07-20 17:30:00,4044,159
2024-07-20 17:35:00,4006,163
2024-07-20 17:40:00,3709,177
2024-07-20 17:45:00,3782,185
2024-07-20 17:50:00,3671,178
2024-07-20 17:55:00,3907,164
2024-07-20 18:00:00,3921,160
2024-07-20 18:05:00,3826,146
2024-07-20 18:10:00,3654,120
2024-07-20 18:15:00,3460,86
2024-07-20 18:20:00,2913,80
2024-07-20 18:25:00,2363,80
2024-07-20 18:30:00,1643,80
2024-07-20 18:35:00,1830,80
2024-07-20 18:40:00,2774,81
2024-07-20 18:45:00,2589,145
